"url","played"
"https://open.spotify.com/track/2u1Yeg4yEeUROwFa8nfSzm",FALSE
"https://open.spotify.com/track/5QxvhE9iZAku2CfuqcnO3s",FALSE
"https://open.spotify.com/track/476c0hliBVv4rtEuSfmoRm",FALSE
"https://open.spotify.com/track/1PgtLNUYhde5Wzq4K4L3ij",FALSE
"https://open.spotify.com/track/1XLSRGRcrVVgWq7dQ8NEW1",FALSE
"https://open.spotify.com/track/4Sl3017auHAFjBxxQ6CEDr",FALSE
"https://open.spotify.com/track/1thxFL2R8Wl83tZgavscJZ",FALSE
"https://open.spotify.com/track/4CZHbzrzXSNDagymnv99TB",FALSE
"https://open.spotify.com/track/7gpftvWH71HcwbYPe4CgMB",TRUE
"https://open.spotify.com/track/0teLzM8d4o8aj5El5kLiUd",FALSE
"https://open.spotify.com/track/4NbcVJqUScnEy202Hp8l3a",FALSE
"https://open.spotify.com/track/00CjtdF1l5wtvaPThn8Fuj",TRUE
"https://open.spotify.com/track/4Dq1fIpmWZXaPoCRw06eVU",TRUE
"https://open.spotify.com/track/4EHFyLPMiIywji4PJGgX6N",FALSE
"https://open.spotify.com/track/5ozrZFzDyMOhdpfty1PNnI",FALSE
"https://open.spotify.com/track/1DkwfMe0MFAE9a3lzlbqJb",TRUE
"https://open.spotify.com/track/49o5MtSOUnE2fg0wWOdxIx",TRUE
"https://open.spotify.com/track/28grzRrS5csyaI4uK98IX0",TRUE
"https://open.spotify.com/track/1c5iUY7Zg1SxtROg1yr5ad",FALSE
"https://open.spotify.com/track/6EOwEp0a537SGJZxVk07Gp",FALSE
"https://open.spotify.com/track/6cQDXBNQcTFNKv0RNn6tkT",FALSE
"https://open.spotify.com/track/0lTOFmzXZ8hxuH5yjTORx6",TRUE
"https://open.spotify.com/track/2lkmsUBJQ2dBOTE40Mlb3t",TRUE
"https://open.spotify.com/track/1Uzls2SczJiJAjKqiRgGmY",FALSE
"https://open.spotify.com/track/0XBXEO2jO3NMVoEwkbUkMv",TRUE
"https://open.spotify.com/track/1nTZoD8JLH2oLjPoRVkWmV",FALSE
"https://open.spotify.com/track/604Y5jWpZscfbCLvgScuKE",FALSE
"https://open.spotify.com/track/3fZHwqaq5eBKHIrwHASYKc",FALSE
"https://open.spotify.com/track/3v5dIsM4RLGiOR037JaMYa",FALSE
"https://open.spotify.com/track/0Y66HFXh2gfMh9vokzuXiC",FALSE
"https://open.spotify.com/track/7IxCg3M5YUPfhIWqq6oHLi",TRUE
"https://open.spotify.com/track/17kHqa1OoWGWnHpVnRNDXD",FALSE
"https://open.spotify.com/track/4XiOme446sqtZIDv7IpNF0",FALSE
"https://open.spotify.com/track/4SjhLMvePiszoPRC4IMYQC",FALSE
"https://open.spotify.com/track/4PMvcKL0GmTaEkugSJIToS",FALSE
"https://open.spotify.com/track/6uSgwWxFQ0UspkClKpRMTB",TRUE
"https://open.spotify.com/track/0C9mcWEFjyXKv9UrOGMgkh",FALSE
"https://open.spotify.com/track/2WpO5X426irloc1doi06fC",FALSE
"https://open.spotify.com/track/2Y8j7SO0RTQ1b5EGZhJhXQ",FALSE
"https://open.spotify.com/track/7JO7nWzLnlqAhfbXEl22pj",FALSE
"https://open.spotify.com/track/4CnBuBzStNaCMuX6UlA7LB",FALSE
"https://open.spotify.com/track/68Hwxn8KEb3cXjv3w3eHtV",TRUE
"https://open.spotify.com/track/6w2ZLAZWEJMRWGUn23WyDp",FALSE
"https://open.spotify.com/track/7HhtaDQQTH1wEmEtONG4FF",FALSE
"https://open.spotify.com/track/1VAyixBejASXVjcR0vOYV3",FALSE
"https://open.spotify.com/track/3f6TpdBNEu14vvBPkY4tfb",TRUE
"https://open.spotify.com/track/2HlHs4vrltZqU1j2XmxrWt",FALSE
"https://open.spotify.com/track/3yckUHNBsRB5UsIWJj03x5",FALSE
"https://open.spotify.com/track/1VLIJmW6lKu4Ps8BClJ8Q6",TRUE
"https://open.spotify.com/track/4ODYxThJLAM3oIuEehUOSo",FALSE
"https://open.spotify.com/track/3YMZQPzUDI439WAObtb9yD",FALSE
"https://open.spotify.com/track/6RubywVgA6wt6UqSh64nip",FALSE
"https://open.spotify.com/track/74y65KpA6WWmfiflCILPxt",TRUE
"https://open.spotify.com/track/5n4kKKlzAirTfYsPPIUfOP",FALSE
"https://open.spotify.com/track/24f5lSKBoHbWQyKxpVQM81",FALSE
"https://open.spotify.com/track/05jzKKhPSJxg2c5fQ8tyG6",FALSE
